,high,low,open,volume,adjclose,formatted_date,SMA,Std_20,Band_1,Band_2,dist_from_mean,vix_data,ON_returns_signal_down,ON_returns_signal_up,stock_move
20,1234.8699951171875,1223.300048828125,1225.4100341796875,2223700.0,1225.1400146484375,2019-07-30,1145.1934814453125,36.955456681194626,1108.2380247641179,1182.1489381265071,94.216552734375,12.829999923706055,1,0,Sell
21,1234.0,1207.7640380859375,1223.0,1453300.0,1216.6800537109375,2019-07-31,1151.5529846191407,39.26900558826997,1112.2839790308708,1190.8219902074106,73.58703002929678,13.9399995803833,1,0,Sell
22,1234.1099853515625,1205.719970703125,1214.030029296875,1725500.0,1209.010009765625,2019-08-01,1156.8244873046874,40.62697505867284,1116.1975122460146,1197.4514623633602,59.85556640625009,16.1200008392334,1,0,Sell
23,1206.9000244140625,1188.93994140625,1200.739990234375,1698500.0,1193.989990234375,2019-08-02,1161.1959899902345,41.33268236793051,1119.8633076223039,1202.528672358165,47.814019775390534,17.8700008392334,1,0,Sell
24,1175.239990234375,1140.1400146484375,1170.0400390625,1645100.0,1152.3199462890625,2019-08-05,1164.3159912109375,41.335382852285534,1122.9806083586518,1205.651374063223,29.673999023437545,17.610000610351562,1,0,Buy
25,1179.9599609375,1160.0,1163.31005859375,2597500.0,1169.949951171875,2019-08-06,1166.1144897460938,39.896008331243344,1126.2184814148504,1206.0104980773372,-13.794543457031295,24.59000015258789,0,1,Buy
26,1178.4449462890625,1149.6240234375,1156.0,1709400.0,1173.989990234375,2019-08-07,1168.3704895019532,38.69628397692198,1129.6742055250313,1207.0667734788751,1.579461669921784,20.170000076293945,1,0,Buy
27,1205.010009765625,1173.02001953125,1182.8299560546875,1444300.0,1204.800048828125,2019-08-08,1170.0459899902344,38.146668293129586,1131.8993216971048,1208.192658283364,3.944000244140625,19.489999771118164,0,1,Sell
28,1203.8800048828125,1183.60302734375,1197.989990234375,1468000.0,1188.010009765625,2019-08-09,1173.0754943847655,38.392011234808294,1134.6834831499573,1211.4675056195738,31.724554443359466,16.90999984741211,1,0,Sell
29,1184.9599609375,1167.6719970703125,1179.2099609375,1065700.0,1174.7099609375,2019-08-12,1175.2309936523438,37.93432212470713,1137.2966715276368,1213.1653157770509,12.779016113281159,17.969999313354492,1,0,Buy
